wavelength_nm,intensity_counts
1.776279000000000110e+02,-2.827272727272726982e+01
1.780081519393773419e+02,-3.007575757575757081e+01
1.783883797441787351e+02,-6.075757575757572582e+00
1.787685833944081821e+02,-5.409090909090906507e+00
1.791487628700697599e+02,-4.742424242424239544e+00
1.795289181511674883e+02,-3.742424242424239988e+00
1.799090492177054443e+02,-2.409090909090906063e+00
1.802891560496876480e+02,-1.075757575757573026e+00
1.806692386271180908e+02,2.575757575757600670e-01
1.810492969300008781e+02,1.590909090909093493e+00
1.814293309383400299e+02,2.257575757575760012e+00
1.818093406321395662e+02,2.257575757575760012e+00
1.821893259914035070e+02,1.924242424242426752e+00
1.825692869961359861e+02,1.590909090909093493e+00
1.829492236263409666e+02,1.257575757575760234e+00
1.833291358620224969e+02,9.242424242424267522e-01
1.837090236831846539e+02,5.909090909090934929e-01
1.840888870698314008e+02,9.242424242424267522e-01
1.844687260019668713e+02,9.242424242424267522e-01
1.848485404595950854e+02,9.242424242424267522e-01
1.852283304227200063e+02,9.242424242424267522e-01
1.856080958713457392e+02,1.590909090909093493e+00
1.859878367854763042e+02,2.257575757575760012e+00
1.863675531451157781e+02,2.590909090909093493e+00
1.867472449302681810e+02,3.257575757575760012e+00
1.871269121209375044e+02,3.924242424242426530e+00
1.875065546971278536e+02,4.257575757575760456e+00
1.878861726388432203e+02,3.590909090909093493e+00
1.882657659260877097e+02,2.924242424242426974e+00
1.886453345388652849e+02,2.590909090909093493e+00
1.890248784571799945e+02,2.924242424242426530e+00
1.894043976610359437e+02,2.924242424242426974e+00
1.897838921304371240e+02,2.590909090909093493e+00
1.901633618453875840e+02,1.924242424242426752e+00
1.905428067858913721e+02,1.924242424242426752e+00
1.909222269319525083e+02,2.590909090909093493e+00
1.913016222635750410e+02,3.590909090909093493e+00
1.916809927607630470e+02,3.924242424242426530e+00
1.920603384035204897e+02,3.924242424242426530e+00
1.924396591718514742e+02,3.590909090909093049e+00
1.928189550457599921e+02,3.257575757575760012e+00
1.931982260052501488e+02,3.590909090909093493e+00
1.935774720303259357e+02,3.590909090909093049e+00
1.939566931009913731e+02,3.924242424242426530e+00
1.943358891972505944e+02,3.924242424242426530e+00
1.947150602991075345e+02,4.257575757575759567e+00
1.950942063865662419e+02,4.590909090909093493e+00
1.954733274396308502e+02,4.257575757575760456e+00
1.958524234383052658e+02,3.924242424242426530e+00
1.962314943625936792e+02,3.590909090909093049e+00
1.966105401925000251e+02,3.590909090909093049e+00
1.969895609080283521e+02,3.590909090909093049e+00
1.973685564891827369e+02,3.924242424242426530e+00
1.977475269159671711e+02,4.590909090909093493e+00
1.981264721683857886e+02,5.257575757575759567e+00
1.985053922264425239e+02,5.924242424242426530e+00
1.988842870701414540e+02,5.590909090909093493e+00
1.992631566794866274e+02,5.257575757575759567e+00
1.996420010344820923e+02,4.257575757575760456e+00
2.000208201151318690e+02,4.257575757575759567e+00
2.003996139014400057e+02,4.257575757575759567e+00
2.007783823734105226e+02,4.590909090909093493e+00
2.011571255110475249e+02,4.590909090909093493e+00
2.015358432943550042e+02,4.924242424242426530e+00
2.019145357033369805e+02,5.257575757575759567e+00
2.022932027179975307e+02,4.924242424242426530e+00
2.026718443183406464e+02,3.924242424242426974e+00
2.030504604843704328e+02,3.257575757575760012e+00
2.034290511960909100e+02,3.590909090909093493e+00
2.038076164335060696e+02,4.257575757575759567e+00
2.041861561766200168e+02,4.257575757575760456e+00
2.045646704054367433e+02,4.257575757575759567e+00
2.049431590999603543e+02,4.924242424242426530e+00
2.053216222401948130e+02,5.590909090909093493e+00
2.057000598061441679e+02,5.924242424242426530e+00
2.060784717778125241e+02,5.257575757575759567e+00
2.064568581352038450e+02,5.257575757575759567e+00
2.068352188583222357e+02,4.924242424242426530e+00
2.072135539271717164e+02,5.590909090909093493e+00
2.075918633217562501e+02,6.257575757575759567e+00
2.079701470220799990e+02,6.590909090909092605e+00
2.083484050081469547e+02,5.590909090909093493e+00
2.087266372599611088e+02,4.257575757575760456e+00
